Timestamp,How old are you?,Industry,Functional area of job,Job title,Job title - additional context,Annual salary (gross),Additional monetary compensation,Currency,Currency - other,Income - additional context,Country,State,City,Remote or on-site?,"Years of experience, overall",Years of experience in field,Highest level of education completed,Gender,Race
4/12/2023 10:58:53,35-44,Government & Public Administration,Administration,Human Resources Generalist,,60673,0,USD,,,United States,Iowa,Davenport,On-site,11-20 years,8-10 years,College degree,Woman,White
4/12/2023 10:58:56,35-44,Retail,Recruitment or HR,Learning and Development Manager,Instructional Designer,97850,19579,USD,,,United States,California,San Francisco ,Fully remote,21-30 years,8-10 years,Master's degree,Woman,White
4/12/2023 10:58:59,25-34,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Children's Librarian,,48000,0,USD,,,United States,New Jersey,Logan Township,On-site,5-7 years,2-4 years,Master's degree,Woman,White
4/12/2023 10:59:03,35-44,Copywriting for the tech sector,Copywriting,Director and Senior Editor,,55000,20000,GBP,,,United Kingdom,,London,Hybrid,11-20 years,11-20 years,College degree,Woman,"Middle Eastern or Northern African, White"
4/12/2023 10:59:04,35-44,"Accounting, Banking & Finance","Accounting, Banking & Finance",Tax preparer ,,90000,,USD,,"Self employed, have business and tax expenses ",United States,Georgia,Atlanta ,Fully remote,11-20 years,11-20 years,College degree,Woman,White
4/12/2023 10:59:05,25-34,Utilities & Telecommunications,"Marketing, Advertising & PR","Manager, Digital Analytics",,78880,12000,CAD,,,Canada,,Toronto,Hybrid,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
4/12/2023 10:59:31,45-54,Nonprofits,Sales,Senior manager of sales,,60000,,USD,,,United States,Oregon,Portland,Hybrid,11-20 years,8-10 years,Master's degree,Non-binary,White
4/12/2023 10:59:46,45-54,Engineering or Manufacturing,Engineering or Manufacturing,Industrial analyzer technician ,Oil and chemical plant worker,94000,6000,USD,,,United States,Louisiana,Baton Rouge,On-site,21-30 years,21-30 years,College degree,Man,Black or African American
4/12/2023 10:59:49,25-34,Government & Public Administration,Science,Epidemiologist II,,88855,0,USD,,,United States,Massachusetts,Boston,Hybrid,8-10 years,8-10 years,Master's degree,Woman,White
4/12/2023 10:59:53,25-34,Retail,Art & Design,Operations manager,,29000,,USD,,,United States,Oklahoma,Oklahoma city,On-site,8-10 years,2-4 years,High School,Woman,White
4/12/2023 10:59:54,45-54,Computing or Tech,Computing or Tech,Accessibility Coordinator ,,72000,10000,USD,,,United States,Colorado,Denver ,Hybrid,8-10 years,1 year or less,Master's degree,Woman,White
4/12/2023 10:59:55,25-34,Retail,"Accounting, Banking & Finance",Senior accountant,Titled senior but I am exclusively an individual contributor-- no review work performed,90000,3000,USD,,,United States,Georgia,Atlanta,Hybrid,5-7 years,5-7 years,Master's degree,Man,White
4/12/2023 11:00:13,25-34,Engineering or Manufacturing,Engineering or Manufacturing,Sr Process Engineer,,96000,10000,USD,,,United States,Texas,Conroe,On-site,5-7 years,5-7 years,College degree,Man,White
4/12/2023 11:00:22,55-64,"Accounting, Banking & Finance",Sales,"Director, Retail Services and Member Experience",,123600,16000,CAD,,,Canada,,Nova Scotia ,Fully remote,31-40 years,31-40 years,College degree,Woman,White
4/12/2023 11:00:23,25-34,Computing or Tech,Recruitment or HR,Sr. HR Generalist,,80000,3000,USD,,,United States,Virginia,Charlottesville,Fully remote,8-10 years,8-10 years,College degree,Woman,White
4/12/2023 11:00:38,45-54,Transport or Logistics,Transport or Logistics,Gas turbine technician ,,67500,,CAD,,,Canada,,Winnipeg,On-site,31-40 years,5-7 years,High School,Man,White
4/12/2023 11:00:44,55-64,"Accounting, Banking & Finance",Compliance,Compliance senior associate ,,130000,18000,USD,,,United States,Nevada,Nyc,Hybrid,21-30 years,21-30 years,College degree,Man,White
4/12/2023 11:00:45,35-44,Computing or Tech,Computing or Tech,Scrum Master ,,104000,,USD,,,United States,Kansas,Kansas City ,Fully remote,11-20 years,8-10 years,College degree,Man,White
4/12/2023 11:01:05,45-54,Biotechnology & Pharma,Computing or Tech,CISO,,315000,0,USD,,,United States,California,Redwood City,Hybrid,21-30 years,21-30 years,College degree,Non-binary,White
4/12/2023 11:01:17,35-44,Engineering or Manufacturing,Engineering or Manufacturing,Lead Engineer ,,134000,2500,USD,,,United States,Texas,San Antonio ,Hybrid,21-30 years,21-30 years,College degree,Man,White
4/12/2023 11:01:20,35-44,"Galleries, Libraries, Archives & Museums",Nonprofits,Development Manager,,61000,,USD,,,United States,Kentucky,Lexington,On-site,11-20 years,11-20 years,Master's degree,Woman,White
4/12/2023 11:01:22,35-44,Health care,Health care,Registered nurse ,Visiting hospice nurse ,87000,0,USD,,,United States,Minnesota,Bloomington,Other/it's complicated,5-7 years,1 year or less,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
4/12/2023 11:01:30,35-44,Health care,Education (Higher Education),Clinical Research Assistant,,42,0,USD,,,United States,New York,New York,On-site,8-10 years,2-4 years,Master's degree,Woman,Asian or Asian American
4/12/2023 11:01:35,35-44,Health care,Computing or Tech,Senior Technology Strategist,,125000,0,USD,,,United States,California,Los Angeles,Fully remote,11-20 years,11-20 years,College degree,Woman,Asian or Asian American
4/12/2023 11:01:36,35-44,Transport or Logistics,Administration,Purchase Order Master,,31000,0,EUR,,,Netherlands ,,Utrecht/Amsterdam ,Hybrid,11-20 years,5-7 years,PhD,Man,White
4/12/2023 11:01:41,25-34,Law,Law,Associate,,140000,10000,USD,,,United States,Florida,Orlando,Hybrid,8-10 years,8-10 years,"Professional degree (MD, JD, etc.)",Man,White
4/12/2023 11:01:51,25-34,Health care,Computing or Tech,Developer Analyst,My job requires a bachelor's degree,88000,500,USD,,,United States,Minnesota,Saint Paul,Fully remote,11-20 years,8-10 years,College degree,Man,White
4/12/2023 11:01:58,25-34,Government & Public Administration,Government & Public Administration,Economist,,94199,0,USD,,,United States,District of Columbia,DC,Hybrid,8-10 years,2-4 years,Master's degree,Woman,White
4/12/2023 11:01:59,35-44,Science,Business or Consulting,Risk Manager,Manage several employees who communicate risk to customres,79500,4000,USD,,,United States,Minnesota,Minneapolis,Hybrid,11-20 years,11-20 years,College degree,Man,White
4/12/2023 11:02:03,35-44,Computing or Tech,Computing or Tech,Senior Director of Product Management,,185000,27700,USD,,,United States,Florida,Miami,Fully remote,11-20 years,11-20 years,Master's degree,Man,White
4/12/2023 11:02:18,25-34,Education (Higher Education),Education (Higher Education),Project Manager,,93903,,USD,,,United States,Massachusetts,Cambridge,Hybrid,11-20 years,11-20 years,College degree,Woman,White
4/12/2023 11:02:26,45-54,Computing or Tech,Computing or Tech,Business Intelligence Engineer,,162000,24000,USD,,,United States,Washington,Seattle,Hybrid,21-30 years,11-20 years,Master's degree,Man,White
4/12/2023 11:02:30,45-54,Hospitality & Events,Computing or Tech,IT Manager,,128000,6000,AUD/NZD,,,Australia,,Perth,On-site,11-20 years,11-20 years,Some college,Man,White
4/12/2023 11:02:33,45-54,"Accounting, Banking & Finance","Accounting, Banking & Finance",Senior Accounting Analyst,,58000,17000,USD,,"I have a base hourly wage and then receive ""commission"" which is a percentage of net income from my clients",United States,Texas,Austin,Hybrid,21-30 years,21-30 years,College degree,Non-binary,White
4/12/2023 11:02:45,25-34,Government & Public Administration,public health,Program Manager,,72000,0,USD,,,United States,Wisconsin,Madison,Hybrid,8-10 years,8-10 years,Master's degree,Woman,White
4/12/2023 11:02:53,45-54,Education (Higher Education),Fundraising/Development,Senior Director of Donor Relations,,78000,0,USD,,,United States,Ohio,Cleveland,Hybrid,21-30 years,21-30 years,College degree,Woman,White
4/12/2023 11:02:57,25-34,Computing or Tech,Computing or Tech,Software Engineer,,74000,1000,EUR,,,Poland,,Warsaw,Fully remote,8-10 years,8-10 years,Master's degree,Man,White
4/12/2023 11:03:05,25-34,Engineering or Manufacturing,Government Affairs & Lobbying,Regulatory Specialist,,64000,1200,USD,,,United States,Ohio,Cincinnati,Hybrid,5-7 years,5-7 years,College degree,Woman,White
4/12/2023 11:03:49,35-44,Computing or Tech,Computing or Tech,Senior Engineering Manager,,316000,400000,USD,,Additional compensation in equity,United States,Washington,Seattle,Fully remote,11-20 years,11-20 years,Master's degree,Man,Another option not listed here or prefer not to answer
4/12/2023 11:04:26,45-54,"Accounting, Banking & Finance","Accounting, Banking & Finance",Product development manager ,I support small businesses by creating new products and services to allow them to help their own clients ,90000,10000,USD,,,United States,Arizona,Phoenix ,Hybrid,21-30 years,21-30 years,College degree,Woman,White
4/12/2023 11:04:29,35-44,Health care,Science,Project Manager,,111000,3000,USD,,,United States,California,Los Angeles Metro,Fully remote,21-30 years,21-30 years,PhD,Woman,White
4/12/2023 11:04:33,35-44,Nonprofits,Nonprofits,Union Representative ,,75000,10000,USD,,We get a car allowance and mileage reimbursement. ,United States,Washington,Bellingham,Other/it's complicated,5-7 years,1 year or less,College degree,Woman,"Black or African American, Hispanic, Latino, or Spanish origin, White"
4/12/2023 11:04:36,25-34,"Accounting, Banking & Finance","Accounting, Banking & Finance",Senior Audit Associate,,93500,14500,USD,,,United States,Pennsylvania,Philadelphia,Hybrid,5-7 years,5-7 years,College degree,Woman,White
4/12/2023 11:04:43,35-44,"Accounting, Banking & Finance",Computing or Tech,senior software developer,,210000,0,CAD,,,Canada,,Vancouver BC,Fully remote,11-20 years,11-20 years,PhD,Man,White
4/12/2023 11:04:49,25-34,Computing or Tech,Computing or Tech,Software Engineer,,77000,24000,GBP,,,United Kingdom,,Burton,Fully remote,5-7 years,5-7 years,Master's degree,Woman,White
4/12/2023 11:04:59,25-34,Education (Primary/Secondary),Education (Primary/Secondary),First Grade Teacher,,4700,0,USD,,,United States,Massachusetts,Braintree,On-site,5-7 years,5-7 years,Master's degree,Woman,White
4/12/2023 11:05:02,18-24,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Collections Assistant,,23144,,GBP,,Recently got a 7% pay rise- initially only 21630,United Kingdom,,Durham,On-site,2-4 years,1 year or less,College degree,Woman,White
4/12/2023 11:05:11,35-44,Business or Consulting,Business or Consulting,Associate Director,,140000,20000,USD,,,United States,Tennessee,Nashville,Hybrid,8-10 years,8-10 years,Master's degree,Woman,White
4/12/2023 11:05:49,25-34,Education (Higher Education),Government Affairs & Lobbying,Policy Analyst,,50000,0,GBP,,Uprated from 35 hour week (which is full time at this employer) - £43.5k for 35hrs,United Kingdom,,London UK,Hybrid,2-4 years,2-4 years,Master's degree,Woman,White
4/12/2023 11:06:03,25-34,Computing or Tech,Government Affairs & Lobbying,Government Affairs Manager,,215000,42000,USD,,"This includes salary and bonus, but not equity ",United States,California,San Francisco ,Hybrid,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
4/12/2023 11:06:37,25-34,Computing or Tech,Government & Public Administration,Too specific to matter,Business development/proposal strategy for federal IT contracts,207000,13000,USD,,,United States,District of Columbia,Washington,Fully remote,11-20 years,8-10 years,Master's degree,Woman,White
4/12/2023 11:06:57,35-44,Education (Higher Education),Education (Higher Education),Senior Research Analyst,,80000,0,USD,,The salary I listed includes my primary job and extra compensation for additional duties (teaching a class twice per year).,United States,Missouri,Columbia,Hybrid,11-20 years,8-10 years,PhD,Woman,White
4/12/2023 11:07:05,35-44,Law,Law,Associate,Lawyer,205000,12000,USD,,,United States,Texas,Austin,On-site,8-10 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
4/12/2023 11:07:10,25-34,Computing or Tech,Computing or Tech,Developer III,Senior software developer,114000,3000,USD,,,United States,Ohio,Cleveland,Hybrid,5-7 years,5-7 years,College degree,Man,White
4/12/2023 11:07:15,25-34,Education (Higher Education),Administration,Assistant Manager,,51600,12000,Other,SGD,,Singapore,,Singapore,Hybrid,2-4 years,2-4 years,College degree,Non-binary,Asian or Asian American
4/12/2023 11:07:22,25-34,Retail,Computing or Tech,Associate data scientist,,135000,15000,USD,,,United States,Oregon,Portland,Hybrid,2-4 years,2-4 years,College degree,Man,White
4/12/2023 11:07:30,35-44,Commercial Nuclear Power - Construction & Maintenance,Quality Assurance,Quality Assurance Manager,,125000,2000,USD,,,United States,Georgia,Atlanta,Hybrid,11-20 years,11-20 years,College degree,Woman,White
4/12/2023 11:08:03,35-44,Mining,Government Affairs & Lobbying,"Manager, government relations and Sustainability ",,125340,25068,CAD,,,Canada,,"Toronto, Ontario",Hybrid,8-10 years,8-10 years,Master's degree,Woman,Asian or Asian American
4/12/2023 11:08:08,45-54,Nonprofits,Meeting planning,Expo Manager,,58118,0,USD,,,United States,New York,Colonie,Hybrid,11-20 years,5-7 years,College degree,Woman,White
4/12/2023 11:08:35,35-44,"Marketing, Advertising & PR","Marketing, Advertising & PR",Senior Director,Digital and Creative Communications,6000000,,Other,Indian Rupee,"Converts to 73,000 USD, or 140k on PPP basis",India,,Delhi,Hybrid,11-20 years,8-10 years,College degree,Man,Asian or Asian American
4/12/2023 11:08:37,35-44,"Accounting, Banking & Finance","Accounting, Banking & Finance",Vice President finance ,,127000,60000,USD,,,United States,Illinois,Suburban Chicago ,On-site,11-20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
4/12/2023 11:08:52,35-44,Education (Higher Education),Administration,Program Coordinator,,45000,,USD,,I had to start my career over. At 30 in higher Ed as a Assoc Director I was making 60K,United States,Illinois,Chicago,Hybrid,8-10 years,8-10 years,Master's degree,Woman,White
4/12/2023 11:08:53,25-34,Computing or Tech,Computing or Tech,Senior Software Engineer,,153000,60000,CAD,,,Canada,,Vancouver,Fully remote,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
4/12/2023 11:09:24,45-54,Import/wholesale ,Administration,COO,,215000,25000,USD,,,United States,Washington,Seattle,Hybrid,21-30 years,21-30 years,Some college,Woman,White
4/12/2023 11:09:26,35-44,Government & Public Administration,Government & Public Administration,Strategy Officer,"My job is in the European Union institutions (supranational government), based in Belgium",63600,0,EUR,,Gross and net is the same for me as the very low income tax is set off by allowances at the same value,Belgium,,Brussels,Hybrid,11-20 years,11-20 years,Master's degree,Woman,White
4/12/2023 11:09:42,35-44,Government & Public Administration,Computing or Tech,Geographic Information Systems Coordinator,,69555,,USD,,,United States,Kentucky,Louisville,Fully remote,11-20 years,8-10 years,College degree,Woman,White
4/12/2023 11:09:42,45-54,Business or Consulting,Business or Consulting,Senior Project Manager,,106372,2000,USD,,,United States,Virginia,Blacksburg,Hybrid,21-30 years,5-7 years,Master's degree,Woman,White
4/12/2023 11:09:56,35-44,Science,Sales,"Associate Director, Business Development ",,145000,100000,USD,,Bonus based on sales,United States,Michigan,Ann Arbor ,Fully remote,11-20 years,11-20 years,College degree,Man,White
4/12/2023 11:10:05,35-44,"Marketing, Advertising & PR","Marketing, Advertising & PR",Chief Marketing Officer,,115000,10000,USD,,,United States,Kentucky,Louisville,Hybrid,11-20 years,11-20 years,College degree,Woman,White
4/12/2023 11:10:20,35-44,Education (Higher Education),"Marketing, Advertising & PR",Operations manager,,74000,,USD,,,United States,Illinois,Chicago,Hybrid,11-20 years,8-10 years,Master's degree,Woman,White
4/12/2023 11:10:36,55-64,Law,Law,Law Clerk,,168569,0,USD,,,United States,Illinois,Chicago ,Hybrid,31-40 years,21-30 years,"Professional degree (MD, JD, etc.)",Woman,White
4/12/2023 11:10:52,25-34,Government & Public Administration,research,Research Manager,,91000,,USD,,,United States,Massachusetts,Boston,Hybrid,5-7 years,5-7 years,Master's degree,Woman,White
4/12/2023 11:11:10,55-64,,Quality Assurance,Quality Assurance Associate,,72000,3000,USD,,,United States,Maryland,Rockville,Hybrid,21-30 years,5-7 years,Master's degree,Woman,White
4/12/2023 11:11:18,25-34,Engineering or Manufacturing,Quality Assurance,QA Manager,,119000,,USD,,,United States,Oregon,Portland,On-site,11-20 years,11-20 years,College degree,Woman,White
4/12/2023 11:11:19,25-34,Media & Digital,Media & Digital,Editor,,79000,0,USD,,,United States,New York,New York City,Hybrid,11-20 years,11-20 years,College degree + Columbia Publishing Course Ceritifcation ,Woman,White
4/12/2023 11:11:35,55-64,Zoo,Zoo,Zoo curator,,94000,0,USD,,,United States,Missouri,St. Louis,On-site,31-40 years,31-40 years,College degree,Woman,White
4/12/2023 11:11:57,35-44,Nonprofits,Agriculture or Forestry,Marketing and communications coordinator,,66000,0,USD,,3% employer match on 401K,United States,Washington,Bellingham ,Fully remote,11-20 years,11-20 years,College degree,Woman,White
4/12/2023 11:12:00,35-44,Government & Public Administration,"Accounting, Banking & Finance",Forensic Auditor 4,,86177,0,USD,,,United States,Louisiana,New Orleans,On-site,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Man,White
4/12/2023 11:12:12,25-34,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Reference/YA LIbrarian,,64000,,USD,,,United States,New York,"Eastchester, NY",On-site,5-7 years,5-7 years,Master's degree,Woman,White
4/12/2023 11:12:17,35-44,Education (Higher Education),"Marketing, Advertising & PR",Assistant Director of Digital Media,,78000,2000,USD,,,United States,Massachusetts,Cambridge,Fully remote,11-20 years,5-7 years,College degree,Woman,Asian or Asian American
4/12/2023 11:12:30,25-34,Entertainment,Art & Design,Designer,,95000,,CAD,,,Canada,,Vancouver,Fully remote,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
4/12/2023 11:12:36,45-54,Education (Primary/Secondary),Education (Primary/Secondary),ESL Teacher,,61368,0,USD,,,United States,Alabama,Ashville,On-site,21-30 years,11-20 years,Master's degree,Woman,White
4/12/2023 11:12:39,35-44,Engineering or Manufacturing,Administration,Project Assistant,,71718,900,USD,,,United States,District of Columbia,"Washington, DC",Hybrid,11-20 years,11-20 years,College degree,Woman,White
4/12/2023 11:12:41,25-34,Education (Primary/Secondary),Education (Primary/Secondary),Third Grade Teacher,,101600,1000,USD,,,United States,New York,NYC,On-site,8-10 years,8-10 years,Master's degree,Man,White
4/12/2023 11:12:52,45-54,Computing or Tech,Sales,Technical Sales Manager,,205000,90000,USD,,,United States,Maryland,"Columbia, MD",Fully remote,31-40 years,21-30 years,College degree,Man,White
4/12/2023 11:12:52,25-34,Science,Education (Higher Education),Science Communicator,"Dissemination (synthesis and document creation) of research in various locations around the world, college/graduate level educator on communicating science ",50000,,USD,,,United States,Maryland,Annapolis,Hybrid,1 year or less,1 year or less,Master's degree,Woman,White
4/12/2023 11:13:19,35-44,Insurance,Computing or Tech,Business Analyst ,,83000,,USD,,,United States,Wyoming,Madison,Fully remote,11-20 years,2-4 years,College degree,Woman,White
4/12/2023 11:13:27,35-44,Computing or Tech,Sales,Proposal Manager,RFP management; IT solutions,129000,0,USD,,,United States,Illinois,Chicago,Fully remote,21-30 years,11-20 years,Some college,Woman,White
4/12/2023 11:13:35,25-34,Business or Consulting,Computing or Tech,principal user researcher,"companies often use “staff” and “principal” interchangeably to indicate a researcher, typically an independent contributor, at the highest level of expertise",145000,6000,USD,,,United States,California,San francisco,Fully remote,8-10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
4/12/2023 11:13:44,35-44,Computing or Tech,Computing or Tech,Principal Engineer,,60000,0,EUR,,,Sweden,,Stockholm,Fully remote,21-30 years,21-30 years,PhD,Man,White
4/12/2023 11:13:46,35-44,Media & Digital,Media & Digital,Executive Editor,This title was invented for the purposes of restricting authority within the role. The actual job duties would more closely resemble those of an Associate Director-style position within the content/editorial department.,60000,0,CAD,,"It should be noted that this is gross underpayment for the role. A similar position elsewhere in the industry in Canada commands anywhere from 1.25 to 2 times the salary; in the United States, it commands from 1.5 to 3 times the salary.",Canada,,Prefer not to answer,Fully remote,11-20 years,8-10 years,PhD,Man,White
4/12/2023 11:13:52,35-44,Insurance,Computing or Tech,Lead Enterprise Architect,,143000,30000,USD,,,United States,Iowa,Cedar Rapids,Fully remote,11-20 years,11-20 years,Some college,Man,White
4/12/2023 11:13:57,35-44,Government & Public Administration,Administration,Administrative worker,,2800,5000,EUR,,,The Netherlands,,Utrecht,Hybrid,8-10 years,5-7 years,High School,Man,White
4/12/2023 11:14:07,35-44,Public Library ,Administration,Clerical Coordinator ,,52000,0,USD,,,United States,Michigan,Roseville ,On-site,21-30 years,21-30 years,High School,Woman,White
4/12/2023 11:14:12,25-34,Law,Law,Associate,,215000,15000,USD,,,United States,Indiana,Indianapolis,Hybrid,8-10 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,White
4/12/2023 11:14:14,35-44,Agriculture or Forestry,Computing or Tech,Sr software engineer ,"Web and mobile app development, full stack",150000,0,USD,,,United States,Washington,Seattle ,Fully remote,21-30 years,8-10 years,College degree,Non-binary,White
4/12/2023 11:14:18,35-44,Science,Computing or Tech,research engineer,sysadmin,97500,,USD,,,United States,Wisconsin,Madison,On-site,11-20 years,8-10 years,College degree,,
4/12/2023 11:14:24,35-44,Property or Construction,"Marketing, Advertising & PR",Marketing Manager,,45000,0,USD,,,United States,Texas,DFW,On-site,11-20 years,11-20 years,College degree,Woman,White
4/12/2023 11:14:24,25-34,Government & Public Administration,Government & Public Administration,Development Review Planner ,City planning for a county ,72100,0,USD,,,United States,Colorado,Golden,Hybrid,5-7 years,2-4 years,Master's degree,Woman,White
4/12/2023 11:14:33,35-44,Government & Public Administration,Social Work,Analyst,"Data Analyst, as that's a broad term",78000,0,CAD,,,Canada,,Ottawa,Hybrid,11-20 years,8-10 years,PhD,Woman,White
4/12/2023 11:14:33,35-44,Computing or Tech,Computing or Tech,Field Application Engineer Technical Lead,Lead for technical aspects of FAE work,125000,15000,USD,,,United States,New Jersey,Princeton,Fully remote,11-20 years,11-20 years,College degree,Man,Asian or Asian American
4/12/2023 11:14:50,25-34,Nonprofits,Science,Research Scientist,"I answered “Science” for the functional area of my job but it probably matters that it is health science (ie health research/analysis, but not health care)",98000,0,USD,,,United States,California,Berkeley,Fully remote,8-10 years,8-10 years,PhD,Woman,White
4/12/2023 11:14:51,25-34,Computing or Tech,Hospitality & Events,Customer Care representative ,,58035,,CAD,,,Canada,,Toronto,Hybrid,8-10 years,2-4 years,College degree,Woman,White
4/12/2023 11:15:04,45-54,Computing or Tech,Computing or Tech,"Manager, Managed Services & Support",,103000,0,USD,,,United States,Texas,Austin,Fully remote,21-30 years,21-30 years,College degree,Man,White
4/12/2023 11:15:21,45-54,Government & Public Administration,Transport or Logistics,Records Program Manager,,101000,0,USD,,,United States,Washington,Seattle,Hybrid,21-30 years,11-20 years,Master's degree,Woman,White
4/12/2023 11:15:38,25-34,Engineering or Manufacturing,,Spare Parts & Storage,"Purchasing and selling of spare parts, keeping the storage we do have sorted",32400,,EUR,,,Germany,,Hamburg,On-site,2-4 years,1 year or less,High School + apprenticeship,Woman,White
4/12/2023 11:15:51,35-44,Law,Law,Partner ,,400000,0,USD,,,United States,Minnesota,Minneapolis ,Hybrid,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Man,Another option not listed here or prefer not to answer
4/12/2023 11:16:02,25-34,Government & Public Administration,"Galleries, Libraries, Archives & Museums",Information Specialist ,,69000,0,USD,,,United States,Texas,Dalals,Fully remote,5-7 years,5-7 years,Master's degree,Woman,"Black or African American, Hispanic, Latino, or Spanish origin"
4/12/2023 11:16:09,35-44,Engineering or Manufacturing,Sales,Manager Sales Strategy and Operations,,110000,20000,USD,,,United States,Michigan,Benton Harbor ,Hybrid,11-20 years,11-20 years,Master's degree,Woman,White
4/12/2023 11:16:31,25-34,Computing or Tech,Computing or Tech,"Associate Director, Client Services",,73000,0,USD,,,United States,Georgia,Washington DC,Fully remote,5-7 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
4/12/2023 11:16:31,35-44,Education (Higher Education),Administration,Senior Grants & Contracts Manager,Research/grants administrator,83200,0,USD,,,United States,Massachusetts,Boston,Fully remote,11-20 years,8-10 years,College degree,Woman,White
4/12/2023 11:16:42,35-44,Computing or Tech,Computing or Tech,Senior Manager,Manage multiple customer/product support teams ,115000,6000,USD,,,United States,Ohio,Cleveland,Hybrid,11-20 years,11-20 years,Master's degree,Woman,White
4/12/2023 11:16:49,25-34,Transport or Logistics,Transport or Logistics,Technical Support Manager,I manage the team responsible for support tickets for a growing supply chain company.,93000,,USD,,,United States,Alabama,Mobile,Fully remote,2-4 years,2-4 years,College degree,Man,White
4/12/2023 11:17:03,45-54,Construction,Recruitment or HR,Director of Human Resources,,126000,20000,USD,,,United States,Iowa,Sioux City,On-site,21-30 years,21-30 years,College degree,Woman,White
4/12/2023 11:17:08,35-44,Retail,Administration,Customer Experience Team Lead,,50000,0,USD,,,United States,Colorado,Denver,Fully remote,5-7 years,5-7 years,PhD,Woman,White
4/12/2023 11:17:08,25-34,Social Work,Social Work,Outpatient therapist,Licensed and board approved supervisor at this employer for 5 years,70000,,USD,,,United States,Minnesota,Minneapolis,Hybrid,8-10 years,8-10 years,Master's degree,"Man, Non-binary",White
4/12/2023 11:17:30,25-34,Government & Public Administration,Government & Public Administration,Clerk I,,36000,1000,USD,,,United States,Michigan,Farmington Hills,On-site,2-4 years,2-4 years,College degree,Woman,White
4/12/2023 11:17:33,45-54,Art & Design,Art & Design,Senior denim designer,,140000,,USD,,,United States,California,Los Angeles,Hybrid,21-30 years,21-30 years,Master's degree,Woman,Asian or Asian American
4/12/2023 11:17:34,35-44,Government & Public Administration,Computing or Tech,Research Data Specialist ,,92772,,USD,,,United States,California,Sacramento ,Fully remote,11-20 years,5-7 years,Master's degree,Woman,White
4/12/2023 11:17:48,25-34,Business or Consulting,"Accounting, Banking & Finance",Accounting Associate,,56000,500,USD,,,United States,North Carolina,Durham ,Fully remote,5-7 years,5-7 years,College degree,Woman,Black or African American
4/12/2023 11:17:51,35-44,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Open Access Librarian,"Academic librarian, higher ed",69600,0,USD,,,United States,Georgia,Atlanta,Hybrid,11-20 years,11-20 years,Master's degree,Woman,White
4/12/2023 11:18:07,35-44,Computing or Tech,Engineering or Manufacturing,Test Team Lead,,121000,10000,USD,,,United States,Minnesota,Rochester,Hybrid,11-20 years,11-20 years,College degree,Man,White
4/12/2023 11:18:11,25-34,,"Galleries, Libraries, Archives & Museums",Reference Department Head,,97278,0,USD,,,United States,Connecticut,Answering would make my response not anonymous,On-site,11-20 years,11-20 years,Master's degree,Woman,White
4/12/2023 11:18:13,35-44,Nonprofits,Nonprofits,Senior Manager,"Project management, strategy",118000,0,USD,,,United States,New York,New York,Hybrid,11-20 years,8-10 years,Master's degree,Woman,White
4/12/2023 11:18:14,25-34,Education (Higher Education),Education (Higher Education),Program Coordinator,,62000,,CAD,,,Canada,,"London, Ontario",On-site,5-7 years,5-7 years,PhD,Woman,White
4/12/2023 11:18:30,25-34,Education (Higher Education),Public health,"Manager, Assessment",,85000,5000,USD,,,United States,Massachusetts,Boston,Fully remote,8-10 years,8-10 years,Master's degree,Woman,White
4/12/2023 11:18:49,45-54,"Accounting, Banking & Finance",Recruitment or HR,Chief HR Officer,,195000,15000,USD,,,United States,Virginia,Richmond,Hybrid,21-30 years,21-30 years,College degree,Woman,White
4/12/2023 11:19:06,25-34,Education (Primary/Secondary),Education (Primary/Secondary),Choir Director,"High school choir director, 20% part-time",60979,2500,USD,,2500 is stipend for performing 3 evening concerts per school year. ,United States,California,Sacramento ,On-site,5-7 years,5-7 years,College degree,Woman,White
4/12/2023 11:19:09,45-54,Engineering or Manufacturing,supply chain,senior production planner,,92000,8000,USD,,,United States,Georgia,alpharetta,On-site,21-30 years,11-20 years,College degree,Man,White
4/12/2023 11:19:12,35-44,"Accounting, Banking & Finance",Computing or Tech,Technical Lead,,72500,12500,EUR,,,Spain,,València,Fully remote,21-30 years,11-20 years,College degree,Man,"Hispanic, Latino, or Spanish origin, Middle Eastern or Northern African, White"
4/12/2023 11:19:16,35-44,Property or Construction,Recruitment or HR,HR Manager,,94500,5000,USD,,,United States,Michigan,Detroit,Hybrid,11-20 years,8-10 years,Some college,Woman,White
